iter	Passed	Remaining
0	3	1762
1	6	1642
2	9	1597
3	12	1566
4	15	1554
5	18	1561
6	22	1553
7	25	1554
8	28	1546
9	31	1543
10	34	1541
11	37	1533
12	40	1526
13	43	1523
14	46	1517
15	50	1515
16	53	1511
17	56	1505
18	59	1499
19	62	1495
20	65	1492
21	68	1487
22	71	1483
23	74	1478
24	77	1478
25	80	1476
26	84	1476
27	87	1471
28	90	1467
29	93	1463
30	96	1462
31	99	1459
32	102	1456
33	105	1452
34	108	1447
35	112	1444
36	115	1441
37	118	1439
38	121	1434
39	124	1432
40	127	1428
41	131	1428
42	134	1424
43	137	1421
44	140	1417
45	143	1414
46	146	1415
47	150	1415
48	154	1418
49	157	1418
50	160	1415
51	163	1412
52	166	1408
53	170	1404
54	173	1400
55	176	1396
56	179	1393
57	182	1389
58	185	1386
59	188	1383
60	191	1379
61	194	1374
62	197	1370
63	200	1367
64	203	1363
65	206	1360
66	210	1357
67	213	1354
68	216	1353
69	219	1349
70	222	1345
71	225	1341
72	228	1337
73	231	1334
74	234	1331
75	237	1327
76	241	1325
77	244	1322
78	248	1323
79	251	1320
80	254	1318
81	257	1315
82	261	1311
83	264	1308
84	267	1304
85	270	1300
86	273	1297
87	276	1293
88	279	1290
89	282	1287
90	285	1284
91	288	1280
92	291	1276
93	294	1273
94	297	1269
95	300	1265
96	303	1262
97	306	1258
98	310	1255
99	313	1252
100	316	1249
101	319	1245
102	322	1242
103	325	1239
104	328	1236
105	331	1233
106	335	1230
107	338	1228
108	341	1226
109	345	1224
110	348	1222
111	351	1219
112	354	1215
113	357	1211
114	360	1208
115	363	1204
116	366	1201
117	369	1197
118	372	1194
119	376	1191
120	379	1187
121	382	1184
122	385	1181
123	388	1177
124	391	1174
125	394	1171
126	397	1168
127	400	1165
128	404	1161
129	406	1158
130	410	1155
131	413	1152
132	416	1149
133	419	1145
134	422	1142
135	425	1138
136	428	1135
137	431	1131
138	434	1128
139	437	1125
140	440	1121
141	443	1119
142	446	1115
143	450	1112
144	453	1109
145	456	1105
146	459	1102
147	462	1099
148	465	1096
149	468	1093
150	471	1090
151	474	1086
152	477	1084
153	481	1080
154	484	1077
155	487	1074
156	490	1071
157	493	1068
158	496	1064
159	499	1061
160	502	1059
161	506	1056
162	509	1054
163	513	1051
164	517	1049
165	520	1046
166	523	1043
167	526	1040
168	529	1037
169	532	1034
170	535	1030
171	538	1027
172	541	1024
173	544	1021
174	547	1017
175	550	1014
176	553	1010
177	557	1007
178	560	1004
179	563	1001
180	566	998
181	569	994
182	572	992
183	575	988
184	578	985
185	581	982
186	585	979
187	588	976
188	591	972
189	594	969
190	597	966
191	600	963
192	603	960
193	606	957
194	610	954
195	613	951
196	616	947
197	619	944
198	622	941
199	625	938
200	628	934
201	631	931
202	634	928
203	637	925
204	640	921
205	643	918
206	646	915
207	650	912
208	653	909
209	656	906
210	659	903
211	662	899
212	665	896
213	668	893
214	672	891
215	675	888
216	679	885
217	682	882
218	685	879
219	689	876
220	692	874
221	695	871
222	698	868
223	702	865
224	705	862
225	709	860
226	713	857
227	716	854
228	719	851
229	722	848
230	726	845
231	729	842
232	732	839
233	735	836
234	739	833
235	742	830
236	745	827
237	748	823
238	751	821
239	755	818
240	758	815
241	762	812
242	765	809
243	768	806
244	772	803
245	775	800
246	778	797
247	781	793
248	784	790
249	787	787
250	790	784
251	793	781
252	797	778
253	800	775
254	803	771
255	806	768
256	809	765
257	812	761
258	815	758
259	818	755
260	821	752
261	824	748
262	827	745
263	830	742
264	833	739
265	836	736
266	839	732
267	842	729
268	845	726
269	848	723
270	851	719
271	855	716
272	858	713
273	861	710
274	864	707
275	867	704
276	870	700
277	873	697
278	876	694
279	879	691
280	882	688
281	885	684
282	888	681
283	891	678
284	895	675
285	898	672
286	901	668
287	904	665
288	907	662
289	910	659
290	913	656
291	916	652
292	919	649
293	922	646
294	925	643
295	929	640
296	932	637
297	936	634
298	940	632
299	944	629
300	948	627
301	952	624
302	957	622
303	962	620
304	965	617
305	969	614
306	973	611
307	977	609
308	980	606
309	984	603
310	987	600
311	991	597
312	995	594
313	999	591
314	1002	588
315	1005	585
316	1009	582
317	1012	579
318	1016	576
319	1019	573
320	1022	570
321	1026	567
322	1029	564
323	1032	560
324	1035	557
325	1038	554
326	1042	551
327	1045	548
328	1048	544
329	1051	541
330	1055	538
331	1058	535
332	1061	532
333	1064	529
334	1068	526
335	1071	522
336	1074	519
337	1077	516
338	1080	513
339	1083	510
340	1087	506
341	1090	503
342	1093	500
343	1096	497
344	1100	494
345	1103	491
346	1106	487
347	1109	484
348	1112	481
349	1115	478
350	1119	475
351	1122	471
352	1125	468
353	1129	465
354	1132	462
355	1135	459
356	1138	456
357	1141	452
358	1144	449
359	1148	446
360	1151	443
361	1155	440
362	1159	437
363	1163	434
364	1166	431
365	1169	428
366	1173	425
367	1176	421
368	1179	418
369	1182	415
370	1186	412
371	1189	409
372	1192	406
373	1195	402
374	1198	399
375	1201	396
376	1204	393
377	1207	389
378	1210	386
379	1213	383
380	1217	380
381	1220	376
382	1223	373
383	1226	370
384	1229	367
385	1232	364
386	1235	360
387	1238	357
388	1241	354
389	1245	351
390	1248	347
391	1251	344
392	1254	341
393	1257	338
394	1260	335
395	1263	331
396	1266	328
397	1269	325
398	1272	322
399	1275	318
400	1279	315
401	1282	312
402	1286	309
403	1289	306
404	1292	303
405	1295	299
406	1298	296
407	1301	293
408	1304	290
409	1308	287
410	1311	283
411	1315	280
412	1318	277
413	1322	274
414	1325	271
415	1328	268
416	1331	265
417	1334	261
418	1338	258
419	1341	255
420	1344	252
421	1348	249
422	1351	245
423	1354	242
424	1357	239
425	1360	236
426	1363	233
427	1366	229
428	1369	226
429	1373	223
430	1376	220
431	1379	217
432	1382	213
433	1385	210
434	1389	207
435	1392	204
436	1395	201
437	1398	197
438	1401	194
439	1404	191
440	1407	188
441	1410	185
442	1414	181
443	1417	178
444	1420	175
445	1423	172
446	1426	169
447	1429	165
448	1432	162
449	1435	159
450	1438	156
451	1441	153
452	1445	149
453	1448	146
454	1451	143
455	1454	140
456	1457	137
457	1460	133
458	1464	130
459	1467	127
460	1470	124
461	1473	121
462	1476	117
463	1479	114
464	1482	111
465	1486	108
466	1489	105
467	1492	102
468	1495	98
469	1498	95
470	1501	92
471	1504	89
472	1508	86
473	1512	82
474	1516	79
475	1519	76
476	1523	73
477	1526	70
478	1529	67
479	1532	63
480	1536	60
481	1539	57
482	1542	54
483	1545	51
484	1548	47
485	1551	44
486	1554	41
487	1557	38
488	1560	35
489	1563	31
490	1566	28
491	1570	25
492	1573	22
493	1576	19
494	1579	15
495	1582	12
496	1585	9
497	1588	6
498	1592	3
499	1595	0
